date_folder,image,path,pixels_per_um,total_detected,A,B,C
06_01_26,origami4_.0_00007_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami4_.0_00007_1.spm.png,156.913,47,28,14,5
06_01_26,origami4_.0_00009_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami4_.0_00009_1.spm.png,104.2,94,61,29,4
06_01_26,origami4_.0_00010_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami4_.0_00010_1.spm.png,313.825,13,7,6,0
06_01_26,origami5_.0_00035_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami5_.0_00035_1.spm.png,52.1,368,230,88,50
06_01_26,origami5_.0_00036_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami5_.0_00036_1.spm.png,156.913,53,34,12,7
06_01_26,origami5_.0_00037_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami5_.0_00037_1.spm.png,104.2,107,69,25,13
06_01_26,origami6.0_00000_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami6.0_00000_1.spm.png,52.1,400,295,66,39
06_01_26,origami6.0_00001_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami6.0_00001_1.spm.png,155.995,54,39,13,2
06_01_26,origami6.0_00002_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami6.0_00002_1.spm.png,104.2,86,68,11,7
06_01_26,origami7_.0_00011_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami7_.0_00011_1.spm.png,52.1,415,85,267,63
06_01_26,origami7_.0_00012_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami7_.0_00012_1.spm.png,156.913,53,8,38,7
06_01_26,origami7_.0_00013_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami7_.0_00013_1.spm.png,472.584,8,2,6,0
06_01_26,origami7_.0_00014_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami7_.0_00014_1.spm.png,104.2,116,17,83,16
06_01_26,origami7_.0_00015_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami7_.0_00015_1.spm.png,313.825,17,2,12,3
06_01_26,origami8_.0_00029_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami8_.0_00029_1.spm.png,52.1,349,93,197,59
06_01_26,origami8_.0_00030_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami8_.0_00030_1.spm.png,155.995,58,11,42,5
06_01_26,origami9_.0_00027_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami9_.0_00027_1.spm.png,52.1,427,99,284,44
06_01_26,origami9_.0_00028_1.spm.png,/Users/maxladabaum/Documents/GitHub/afm_analysis/06_01_26/origami9_.0_00028_1.spm.png,156.913,51,11,38,2
